aws_region_name,aws_sub_region_name,aws_municipality_name,aws_neighborhood_name,display_name,search_method
"","Jawa Tengah","Kendal","Kendal","Kendal, Jawa Tengah, Jawa, 51313, Indonesia",""
"","Jawa Tengah","Magelang Kabupaten","Mungkid","Mungkid, Magelang, Jawa Tengah, Jawa, 56511, Indonesia",""
"","Jawa Timur","Mojokerto Kota","Prajurit Kulon","Prajurit Kulon, Kota Mojokerto, Jawa Timur, Jawa, 61328, Indonesia",""
"","Jawa Timur","Malang Kabupaten","Pagak","Pagak, Kabupaten Malang, Jawa Timur, Jawa, 65168, Indonesia",""
"","Jawa Tengah","Pekalongan Kabupaten","Karangdadap","Karangdadap, Pekalongan, Jawa Tengah, Jawa, Indonesia",""
"JABODETABEK","DKI Jakarta","Jakarta","Gambir","Gambir, Jalan Medan Merdeka Timur, RW 02, Gambir, Jakarta Pusat, Daerah Khusus ibukota Jakarta, Jawa, 10110, Indonesia",""
"","Nusa Tenggara Timur","Rote Ndao","","Rote Ndao, Nusa Tenggara Timur, Nusa Tenggara, 85371, Indonesia",""
"","Nusa Tenggara Barat","Sumbawa Barat","Maluk","Maluk, Sumbawa Barat, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",""
"JABODETABEK","Banten","Tangerang","Pagedangan","Pagedangan, Kabupaten Tangerang, Banten, Jawa, Indonesia",""
"","Jawa Tengah","Tegal Kabupaten","Balapulang","Balapulang, Tegal, Jawa Tengah, Jawa, 52464, Indonesia",""
"","Sulawesi Selatan","Barru","","Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",""
"","Jawa Barat","Banjar","Purwaharja","Purwaharja, Banjar, Jawa Barat, Jawa, 46331, Indonesia",""
"","Jawa Timur","Probolinggo","Wonoasih","Wonoasih, Kota Probolinggo, Jawa Timur, Jawa, 67231, Indonesia",""
"","Sumatera Selatan","Muara Enim","Ujan Mas","Ujan Mas, Muara Enim, Sumatera Selatan, Sumatera, Indonesia",""
"","Papua","Jayapura Kota","Jayapura Utara","TUK PMI Provinsi Kota Jayapura, Jalan Trikora, Trikora, Jayapura, Papua, Western New Guinea, 99111, Indonesia",""
"JABODETABEK","DKI Jakarta","Jakarta Utara","Penjaringan","Penjaringan, Jakarta Utara, Daerah Khusus ibukota Jakarta, Jawa, Indonesia",""
"","Sumatera Utara","Deli Serdang","Deli Tua","Deli Tua, Deli Serdang, Sumatera Utara, Sumatera, 21222, Indonesia",""
